model	objective	reaction	status	value
iAB_AMO1410_SARS-CoV-2	obj	R_DM_sTn_antigen(g)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_sprm(c)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_yvite(c)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_T_antigen(g)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_10fthf(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_10fthf5glu(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_10fthf6glu(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_10fthf7glu(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_11-cis-retfa(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_13-cis-retnglc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_1glyc_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_1mncam(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_2425dhvitd2(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_2425dhvitd3(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_24nph(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_25hvitd2(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_25hvitd3(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_2hb(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_2mcit(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_35cgmp(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_3aib(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_3mlda(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_4abut(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_4hdebrisoquine(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_4hphac(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_4mptnl(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_4nph(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_4nphsf(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_4pyrdx(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_5adtststerone(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_5adtststeroneglc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_5dhf(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_5fthf(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_5htrp(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_5mthf(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_5thf(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_6dhf(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_6htststerone(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_6thf(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_7dhf(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_7thf(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_9-cis-retfa(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_CLPND(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_Lcystin(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_Rtotal(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_Rtotal2(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_Rtotal3(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_Tyr-ggn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_abt(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ac(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_acac(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_acald(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_acetone(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_acgam(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ach(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_acn13acngalgbside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_acn23acngalgbside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_acnacngal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_acnacngalgbside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_acngalacglcgal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ade(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_adn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_adp	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_adprbp(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_adprib(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_adrn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_adrnl(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_aflatoxin(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ahandrostanglc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ak2lgchol_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_akg(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ala-B(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ala-D(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ala-L(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_aldstrn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_amp(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_andrstrn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_andrstrnglc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_aqcobal(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_arab-L(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_arach(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_arachd(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_arg-L(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ascb-L(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_asn-L(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_asp-D(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_asp-L(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_atp(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_avite1(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_avite2(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_bhb(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_bildglcur(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_bilglcur(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_bilirub(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_biocyt(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_btn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_but(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_bvite(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_bz(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ca2(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_camp(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cca_d3(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cgly(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_chol(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cholate(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_chsterol(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_chtn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cit(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cl(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cmp(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_co(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_co2(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_coumarin(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_creat(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_crmp_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_crn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_crtsl(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_crtstrn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_crvnc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_csn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cspg_a(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cspg_b(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cspg_c(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cspg_d(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cspg_e(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cyan(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cys-L(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_cytd(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_dad-2(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_dag_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_dcsptn1(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_dcyt(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_debrisoquine(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_dgchol(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_dgsn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_dhdascb(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_dheas(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_dhf(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_digalsgalside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_din(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_dlnlcg(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_dmhptcrn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_dopa(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_dopasf(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_drib(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_duri(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_eaflatoxin(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ebastine(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ebastineoh(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_eicostet(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_elaid(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_estradiol(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_estradiolglc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_estriolglc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_estroneglc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_estrones(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_etoh(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fe2(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fol(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_for(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fru(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fuc-L(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fuc13galacglcgal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fuc14galacglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fucacgalfucgalacglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fucacngal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fucacngalacglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fucfuc12gal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fucfuc132galacglcgal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fucfucfucgalacglcgal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fucfucgalacglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fucgal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fucgalfucgalacglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_fucgalgbside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gal(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_galacglcgalgbside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_galfuc12gal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_galfucgalacglcgal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_galgalgalthcrm_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gam(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gbside_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gchola(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gd1b2_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gd1c_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gdchola(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gdp(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_glc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gln-L(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_glu-L(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gluala(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gly(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_glyb(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_glyc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_glyc-S(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_glygn2(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_glygn4(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_glygn5(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gmp(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gp1c_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gp1calpha_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gq1b_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gq1balpha_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gsn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gt1a_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gthox(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gthrd(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gtp(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_gua(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_h(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_h2o(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_h2o2(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ha(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ha_pre1(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_hco3(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_hcoumarin(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_hdca(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_hdcea(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_hestratriol(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_hexc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_his-L(e)	optimal	-0.000000
iAB_AMO1410_SARS-CoV-2	obj	R_EX_hista(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_hom-L(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_hpdca(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_hspg(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_hxan(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_i(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_idp(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ile-L(e)	optimal	-0.000000
iAB_AMO1410_SARS-CoV-2	obj	R_EX_imp(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_inost(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ins(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_k(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ksi(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ksi_deg1(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ksii_core2(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ksii_core4(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_lac-D(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_lac-L(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_lcts(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_leu-L(e)	optimal	-0.000000
iAB_AMO1410_SARS-CoV-2	obj	R_EX_leuktrA4(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_leuktrB4(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_leuktrC4(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_leuktrD4(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_leuktrE4(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_leuktrF4(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_lgnc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_lipoate(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_lneldc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_lnlc(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_lnlnca(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_lnlncg(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_lpchol_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_lys-L(e)	optimal	-0.000000
iAB_AMO1410_SARS-CoV-2	obj	R_EX_mag_hs(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_malt(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_man(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_meoh(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_mepi(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_mercplaccys(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_met-L(e)	optimal	-0.000000
iAB_AMO1410_SARS-CoV-2	obj	R_EX_mthgxl(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_n2m2nmasn(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_na1(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_nac(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_nad(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_nadp(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_ncam(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_nh4(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_no(e)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_EX_npthl(e)	optimal	0.014424
